id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_010,"One hand, index finger extended and facing up, pointing upwards repeatedly","One hand, index finger extended and facing upwards, raising upwards once + One hand, index finger extended and facing upwards, stationary","One hand, index and thumb fingers, touch, inwards, stationary","One hand, all fingers open and facing inwards, touching the face repeatedly","Two hands, all fingers open and slightly curved, facing each other, moving together repeatedly","Two hands, all fingers closed, hands touching together, stationary + Two hands, all fingers open, palms facing up, moving apart repeatedly","One hand, index finger extended and facing up, raised upwards repeatedly","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards"
p_011,"One hand, palm open and facing up, raised and held stationary + One hand, palm open and facing in, touching the chest repeatedly","One hand, all fingers open and facing forward, moving upwards repeatedly","One hand, all fingers open and facing forward, raised and stationary + One hand, index finger curved and facing forward, stationary","One hand, index finger, closed and facing up, raised and stationary + One hand, all fingers, open and facing forward, raised and stationary","Two hands, all fingers open and facing forward, moving upwards repeatedly + Two hands, all fingers open and facing forward, moving together and stationary","Two hands, all fingers open and facing each other, moving apart and together repeatedly + Two hands, all fingers open and facing forward, raised upwards repeatedly","One hand, all fingers open and facing up, raised upwards repeatedly + One hand, index finger extended and facing up, raised upwards repeatedly","One hand, all fingers open and facing forward, spreading apart repeatedly + One hand, index finger extended and facing forward, moving towards the face once"
p_012,"One hand, all fingers curved and facing inwards, touching the side of the head near the ear, stationary + One hand, all fingers open and facing inwards, moving away from the side of the head near the ear, once","One hand, all fingers curved and facing inwards, touching the side of the head near the ear, stationary + one hand, all fingers open and facing downwards, moving downwards repeatedly","One hand, index finger extended and facing forward, touching the lips in a stationary position","One hand, index and thumb fingers curved inwards, touching the face, stationary + One hand, all fingers open and facing upwards, moving outwards repeatedly","One hand, index finger extended and facing upwards, raised upwards repeatedly + One hand, index finger extended and facing downwards, pointing downwards repeatedly","Two hands, all fingers open and facing each other, moving apart and upwards repeatedly + Two hands, all fingers open and facing each other, moving apart and downwards repeatedly","One hand, index finger extended and facing upwards, moving upwards repeatedly","One hand, all fingers open and facing forward, waving repeatedly"
p_013,"One hand, index finger extended and facing upwards, pointing upwards repeatedly + One hand, all fingers curved and facing inwards, moving inwards and outwards repeatedly","One hand, all fingers open and facing forward, moving upwards and downwards repeatedly","One hand, index finger extended and facing forward, touching the lips in a stationary position with small variances in hand pose or position + One hand, palm open and facing down, moving downwards repeatedly","One hand, all fingers open and facing down, moving repeatedly downwards","One hand, all fingers open and facing forward, raised upwards once + Two hands, all fingers open and facing forward, raised upwards once","One hand, thumb finger extended and facing up, raising upwards once + One hand, thumb finger extended and facing up, held stationary","One hand, index finger extended and facing up, raised upwards repeatedly + One hand, all fingers closed and facing down, moving downwards repeatedly","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards"
p_014,"One hand, all fingers curved and facing in, touching the side of the head, stationary","One hand, all fingers open and facing forward, waving leftwards and rightwards repeatedly","One hand, index and thumb fingers forming a pinch shape facing forward, moving towards the mouth once + One hand, index and thumb fingers forming a pinch shape facing forward, held stationary near the mouth","One hand, index and thumb fingers curved and facing up, touching the mouth, stationary + One hand, open palm facing left, moving outwards, once","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards + One hand, palm open and facing down, moving repeatedly leftwards and rightwards","One hand, palm open and facing down, moving upwards repeatedly + One hand, palm open and facing left, moving upwards repeatedly","One hand, all fingers open and facing forward, raised upwards once","One hand, index and pinky fingers extended and facing forward, raised and stationary + One hand, index finger extended and facing down, pointing downwards and stationary"
p_015,"One hand, palm open and facing up, moving upwards and downwards repeatedly","One hand, all fingers open and facing forward, waving repeatedly","One hand, all fingers open and facing forward, waving repeatedly + One hand, index and thumb fingers pinched and facing down, moving repeatedly","One hand, all fingers closed, palm facing in, moving upwards repeatedly + One hand, all fingers open, palm facing up, held stationary","One hand, all fingers open and facing left, moving upwards repeatedly + One hand, all fingers open and facing left, moving rightwards repeatedly","Two hands, all fingers open and facing each other, clapping repeatedly + Two hands, all fingers together and palms facing each other, stationary","One hand, index finger extended and facing up, raised upwards repeatedly","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards + One hand, all fingers open and facing forward, stationary"
p_016,"One hand, all fingers open and facing up, moving upwards repeatedly","One hand, all fingers open and facing forward, raised upwards once + One hand, all fingers open and facing down, moving downwards repeatedly","One hand, all fingers open and facing forward, raised upwards once + One hand, all fingers open and facing inward, touching the face stationary","One hand, all fingers closed, facing inwards, touching the mouth, stationary + One hand, palm open, facing upwards, moving leftwards repeatedly","One hand, palm open and facing down, moving upwards towards the head and touching the top of the head once + One hand, palm open and facing down, moving horizontally leftwards repeatedly","One hand, palm open and facing down, moving leftwards repeatedly + One hand, palm open and facing down, stationary above the head","One hand, all fingers open and facing forward, raised stationary","One hand, palm open and facing in, moving upwards towards the face once + One hand, palm open and facing down, stationary near the head"
p_017,"One hand, index finger extended and facing upwards, moving upwards repeatedly","One hand, index finger extended and facing upwards, moving upwards repeatedly + One hand, index and thumb fingers extended and facing upwards, stationary","One hand, fist, raised upwards, once + One hand, index finger, touching face near mouth, stationary","One hand, index finger extended and facing forward, moving upwards towards the face once + One hand, index finger extended and facing forward, touching the face stationary","Two hands, all fingers closed and facing each other, moving apart and together repeatedly + Two hands, all fingers closed and facing each other, stationary","One hand, fist with thumb touching face, stationary + Two hands, fists facing each other, moving apart repeatedly","One hand, index finger extended and facing up, raising upwards once + One hand, index finger extended and facing up, stationary","Two hands, palms open and facing forward, moving upwards repeatedly"
p_018,"One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards","One hand, all fingers open and facing forward, moving upwards repeatedly + One hand, all fingers open and facing forward, stationary","One hand, all fingers open and facing in, touching the mouth, stationary","Two hands, index fingers, extended and pointing upwards, repeatedly touching the sides of the head","Two hands, all fingers open and facing inwards, moving upwards towards the face repeatedly + Two hands, all fingers open and facing inwards, stationary covering the face","Two hands, all fingers open and facing each other, moving upwards repeatedly + Two hands, all fingers open and facing inwards, covering the face stationary","One hand, index finger extended and facing up, pointing upwards, once + One hand, index finger extended and facing up, pointing upwards, stationary","One hand, all fingers open and facing forward, waving leftwards and rightwards repeatedly"
p_019,"One hand, all fingers open and facing forward, moving upwards repeatedly","One hand, all fingers open and facing forward, moving upwards repeatedly","One hand, all fingers open and facing forward, moving upwards repeatedly + One hand, index and thumb fingers forming a circle and facing forward, held stationary","One hand, all fingers open and facing left, waving leftwards repeatedly","One hand, all fingers open and facing forward, moving repeatedly upwards and downwards","Two hands, all fingers open and facing each other, clapping repeatedly + Two hands, all fingers open and facing forward, raised and held stationary","One hand, all fingers open and facing forward, moving upwards repeatedly","One hand, palm open and facing down, moving upwards repeatedly + two hands, palms open and facing each other, moving apart repeatedly"
p_020,"One hand, all fingers open and facing left, moving upwards repeatedly","One hand, all fingers open and facing forward, waving repeatedly","One hand, all fingers open and facing forward, waving repeatedly + One hand, index finger extended and facing forward, pointing repeatedly","Two hands, all fingers open and slightly curved, palms facing each other, moving apart repeatedly + Two hands, all fingers open, palms facing up, held stationary","Two hands, all fingers open and palms facing each other, clapping repeatedly + Two hands, all fingers open and crossed with palms facing forward, held stationary","Two hands, index and thumb fingers extended, index fingers pointing upwards and thumb fingers pointing inwards, forming an ""L"" shape, stationary","One hand, index finger extended and facing up, raised upwards and held stationary","Two hands, all fingers open and extended, facing forward, crossing and holding stationary"
p_021,"One hand, all fingers open and facing down, moving repeatedly downwards + One hand, index finger extended and facing up, moving repeatedly upwards and downwards","One hand, all fingers open and facing down, moving repeatedly downwards + One hand, index finger extended and facing up, touching the side of the head repeatedly","One hand, all fingers open and facing down, moving repeatedly downwards","One hand, all fingers open and facing down, moving repeatedly downwards","One hand, palm open and facing in, moving upwards towards the head repeatedly + One hand, palm open and facing down, moving inwards and outwards repeatedly","One hand, all fingers curved, touching the side of the head, stationary + One hand, all fingers open, moving outwards repeatedly","One hand, index finger extended and facing up, raised upwards and held stationary","Two hands, all fingers curved inwards, repeatedly moving in a circular motion together"
p_022,"One hand, index finger extended and facing upwards, moving towards the side of the head and touching it, once + One hand, thumb finger extended and facing upwards, moving downwards to a resting position, once","One hand, index finger, pointing upwards, raised repeatedly","One hand, index finger extended and facing up, raising upwards repeatedly + One hand, index finger extended and facing up, touching the lips stationary",,"One hand, all fingers curved and touching the face, stationary + Two hands, palms open and facing each other, moving apart and together repeatedly","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards","One hand, index and middle fingers extended and facing forward, moving upwards repeatedly","One hand, all fingers open and facing forward, waving leftwards and rightwards repeatedly + One hand, all fingers open and facing up, stationary"
p_023,"One hand, open palm facing forward, raised upwards once + One hand, open palm facing forward, moving downwards repeatedly","One hand, all fingers open and facing down, moving up and down repeatedly","One hand, palm open and facing in, moving upwards towards the face once + One hand, palm open and facing in, moving downwards away from the face once","One hand, palm open facing in, moving towards face, once + One hand, palm open facing up, moving leftwards, repeatedly","Two hands, palms open and facing each other, moving upwards repeatedly + Two hands, palms open and facing outwards, held stationary near the face","Two hands, palms together, raised upwards, repeatedly + Two hands, palms open, moving apart, once","One hand, open palm facing forward, raised upwards and held stationary","One hand, index finger curved and facing forward, moving upwards repeatedly + One hand, palm open and facing sideways, touching the side of the head stationary"
p_024,"One hand, index finger extended and facing upwards, pointing upwards, once + One hand, index finger extended and facing outwards, pointing outwards, once","One hand, index and thumb fingers pinched and facing up, raised stationary + One hand, index and middle fingers extended and facing up, raised stationary","One hand, all fingers open and facing up, waving repeatedly + One hand, index finger extended and facing down, pointing repeatedly","One hand, all fingers open and facing forward, raised upwards once + One hand, index and thumb fingers pinched and facing forward, raised upwards once","One hand, all fingers open and facing forward, raised upwards once + One hand, index and thumb fingers pinched and facing up, moving slightly repeatedly","One hand, all fingers open and facing forward, raised and stationary + One hand, index and thumb fingers pinched and facing up, moving repeatedly",No gestures performed,"One hand, all fingers open and facing forward, waving repeatedly"
p_025,"One hand, all fingers open and facing forward, raised and stationary + One hand, all fingers open and facing up, moving upwards once","One hand, index and thumb fingers pinched and facing upwards, moving slightly inwards and outwards repeatedly + One hand, all fingers open and facing forward, raised and stationary","One hand, all fingers open and facing inwards, touching the mouth, stationary","One hand, all fingers open and facing in, touching the mouth, stationary","One hand, all fingers open and facing forward, raised upwards and held stationary","One hand, all fingers open and facing forward, raised and stationary + One hand, all fingers open and facing forward, moving leftwards repeatedly","One hand, index finger extended and facing up, raised upwards and held stationary","One hand, all fingers open and facing forward, raised upwards once + One hand, all fingers open and facing down, moving downwards once"
p_026,"One hand, all fingers open and palm facing out, moving upwards repeatedly + One hand, index finger extended and pointing upwards, held stationary","One hand, palm open and facing down, moving leftwards repeatedly + One hand, index finger extended and facing down, moving downwards repeatedly","One hand, palm open and facing down, moving up and down repeatedly + One hand, fingers touching the side of the head, stationary","One hand, all fingers open and facing down, moving repeatedly downwards + One hand, all fingers closed and touching the side of the head, stationary","One hand, all fingers closed, touching the chin, stationary + One hand, all fingers closed, raised to the side of the head, stationary","One hand, palm open and facing forward, raised and held stationary","One hand, all fingers closed, hand raised upwards repeatedly + One hand, index finger extended upwards, hand raised upwards repeatedly","One hand, index finger extended and facing upward, pointing upwards repeatedly + One hand, all fingers open and facing downward, moving downwards repeatedly"
p_027,"One hand, all fingers open and facing forward, raised upwards repeatedly","One hand, all fingers open and facing forward, raised upwards once + One hand, all fingers open and facing forward, moving downwards once","One hand, index and thumb fingers curved inwards, touching the mouth, stationary","One hand, all fingers open and facing forward, raised and stationary + One hand, index and thumb fingers pinched and facing inward, raised and stationary","Two hands, index and thumb fingers, forming a curved shape facing each other, stationary + Two hands, all fingers, one hand covering the face while the other points outward, stationary","Two hands, index and thumb fingers, open and facing each other, forming a rectangular shape, stationary + Two hands, all fingers, clasped together, stationary","Two hands, all fingers open and facing each other, clapping repeatedly + One hand, all fingers open and facing forward, raised stationary","One hand, thumb finger extended and facing upwards, moving upwards repeatedly + One hand, index finger extended and facing downwards, stationary"
p_028,"One hand, index finger extended and facing upwards, pointing upwards repeatedly","One hand, index finger, pointing upwards, stationary","One hand, index and thumb fingers curved inwards, touching the side of the head near the ear, stationary","One hand, index and thumb fingers, touching the side of the head, stationary + One hand, index and pinky fingers, extended upwards, stationary","One hand, all fingers open and facing forward, moving upwards repeatedly","One hand, all fingers open and facing forward, moving upwards repeatedly","One hand, index finger extended and facing up, raised upwards and held stationary","One hand, palm open and facing down, moving rightwards repeatedly"
p_029,"One hand, all fingers open and facing down, moving downwards repeatedly + One hand, index finger extended and facing up, moving upwards and downwards repeatedly","One hand, index finger pointing upwards, moving upwards repeatedly","One hand, all fingers open facing forward, waving leftwards repeatedly","One hand, all fingers open and facing forward, waving leftwards and rightwards repeatedly","One hand, palm open and facing outward, moving leftwards repeatedly","One hand, all fingers open and facing left, waving repeatedly leftwards and rightwards + one hand, all fingers open and facing down, swiping repeatedly leftwards and rightwards","One hand, index finger extended upwards, pointing upwards, stationary","One hand, all fingers open and facing forward, moving upwards repeatedly + One hand, all fingers open and facing down, moving downwards repeatedly"
p_030,"One hand, index finger extended and facing upwards, touching the side of the head repeatedly + One hand, thumb finger extended and facing upwards, moving upwards repeatedly","One hand, index finger, touching, stationary + One hand, thumb finger, pointing downwards, repeatedly","One hand, index finger, extended and facing upwards, touching the side of the head repeatedly + One hand, all fingers, open and facing forward, raised and moving slightly apart repeatedly","One hand, index finger, touching, stationary + One hand, all fingers, open and facing forward, waving, repeatedly","One hand, palm open and facing outward, raised and stationary + Two hands, palms open and facing upward, held together and stationary",One hand palm open facing inwards moving upwards once + two hands palms open facing upwards stationary,"One hand, index finger, extended and facing up, raised upwards and held stationary","Two hands, palms open facing each other, clapping together repeatedly"
p_031,"One hand, index finger extended and facing forward, pointing forward repeatedly","One hand, index finger extended and facing forward, pointing repeatedly forward",,,"One hand, index finger extended and facing forward, pointing forward once","One hand, index finger extended and facing upwards, pointing repeatedly upwards","One hand, index finger extended and facing upwards, pointing upwards, stationary","Two hands, all fingers open and facing each other, moving apart and together repeatedly"
p_032,"One hand, all fingers open and facing inwards, touching the side of the head, stationary + One hand, index finger extended and facing upwards, pointing upwards, stationary","One hand, all fingers open and facing inwards, touching the side of the head, stationary + One hand, index finger extended and facing upwards, pointing upwards repeatedly","One hand, all fingers closed, touching the side of the head, stationary","Two hands, all fingers open and facing forward, spreading apart repeatedly + Two hands, palms facing each other, clapping together repeatedly","One hand, all fingers open and facing forward, waving leftwards and rightwards repeatedly + One hand, all fingers open and facing inwards, touching the head repeatedly","One hand, all fingers open and facing forward, waving leftwards and rightwards repeatedly","One hand, all fingers open and facing forward, raised and stationary + One hand, all fingers open and facing forward, moving downwards once","One hand, all fingers open and facing forward, waving leftwards and rightwards repeatedly"
p_033,"One hand, palm open and facing up, raised and stationary + One hand, palm open and facing forward, moving upwards repeatedly","One hand, palm open and facing down, moving up and down repeatedly","One hand, palm open and facing down, moving up and down repeatedly + One hand, palm open and facing forward, raised and held stationary","One hand, palm open and facing down, moving leftwards repeatedly + One hand, palm open and facing forward, moving upwards once",One hand index and thumb fingers closed touching face stationary + Two hands all fingers open facing each other clapping repeatedly,"Two hands, all fingers open and facing each other, clapping repeatedly + Two hands, all fingers closed into fists, tapping together repeatedly","One hand, index finger pointing upwards and facing forward, raised upwards once + One hand, index finger pointing upwards and facing forward, held stationary","Two hands, all fingers open and facing each other, clapping repeatedly + Two hands, fists closed and facing each other, moving up and down repeatedly"
p_034,"One hand, all fingers open and facing forward, moving upwards and downwards repeatedly + One hand, all fingers open and facing forward, stationary near the side of the head","One hand, all fingers open and facing forward, waving leftwards and rightwards repeatedly + One hand, index and thumb fingers pinched and facing forward, moving slightly up and down repeatedly","One hand, index and thumb fingers pinched and facing forward, moving upwards repeatedly","One hand, all fingers open and facing forward, waving repeatedly","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards + One hand, all fingers open and facing forward, stationary in front of the face","One hand, all fingers open and facing forward, moving repeatedly leftwards and rightwards + One hand, all fingers open and facing forward, raised upwards and held stationary","One hand, index finger extended and facing up, raised upwards repeatedly","One hand, all fingers open and facing forward, waving repeatedly + One hand, index and thumb fingers pinched and facing forward, held stationary"
p_035,"One hand, palm open and facing down, moving leftwards and rightwards repeatedly + One hand, palm closed and facing down, moving up and down repeatedly","One hand, all fingers open and facing forward, waving repeatedly upwards + One hand, all fingers open and facing down, moving repeatedly downwards","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards + One hand, palm open and facing down, moving repeatedly downwards","One hand, all fingers open and facing forward, waving leftwards and rightwards repeatedly + One hand, all fingers open and facing forward, raised upwards and held stationary","One hand, palm open and facing left, moving upwards repeatedly + One hand, palm open and facing inwards, covering the face stationary","One hand, palm open and facing down, moving upwards repeatedly + One hand, palm open and facing forward, touching the face and remaining stationary","One hand, all fingers open and facing forward, raised upwards once + One hand, all fingers open and facing forward, held stationary","Two hands, all fingers open and facing forward, moving upwards and downwards repeatedly"
p_036,"One hand, index finger extended and facing up, moving upwards and downwards repeatedly","One hand, index finger extended and facing forward, pointing repeatedly upwards","Two hands, palms open and facing each other, moving upwards repeatedly + Two hands, palms open and facing each other, clapping repeatedly","Two hands, all fingers open and palms facing each other, moving upwards repeatedly + Two hands, all fingers closed and palms facing each other, clapping repeatedly","Two hands, all fingers open and facing each other, moving upwards repeatedly + Two hands, all fingers open and facing outwards, moving up and down repeatedly","Two hands, all fingers open and facing forward, moving upwards repeatedly + Two hands, all fingers together and palms facing each other, moving upwards repeatedly","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards"
p_037,"One hand, all fingers open and facing left, moving upwards repeatedly + One hand, all fingers open and facing left, touching the side of the head stationary","One hand, all fingers open and facing forward, raised upwards once","One hand, palm open and facing left, moving upwards repeatedly + One hand, palm open and facing inwards, touching the face stationary","One hand, all fingers open and facing forward, spreading apart once","Two hands, all fingers open and facing forward, spreading apart repeatedly + two hands, all fingers open and facing forward, crossing stationary","Two hands, all fingers closed and thumbs extended upwards, stationary + Two hands, all fingers closed and thumbs extended upwards, moving up and down repeatedly","One hand, index finger extended and facing up, raised upwards and held stationary","One hand, palm open and facing left, moving upwards repeatedly + one hand, palm open and facing down, moving downwards repeatedly"
p_038,,,,"One hand, index and thumb fingers closed into a fist, facing forward, raised upwards once","One hand, all fingers open and curved, facing down, touching the head repeatedly + One hand, all fingers open, facing down, swiping leftwards repeatedly","One hand, palm open and facing in, moving upwards towards the head, once","One hand, index finger extended and facing up, moving upwards and downwards repeatedly","One hand, all fingers curved inwards, moving upwards towards the shoulder, once"
p_039,"One hand, all fingers curved inward and facing inward, touching the side of the head, stationary + One hand, all fingers open and facing upward, moving upward and outward, once","One hand, all fingers open and facing left, moving upwards repeatedly + One hand, all fingers open and facing left, touching the side of the head stationary",,"One hand, index and thumb fingers pinched and facing upwards, holding stationary",No hand gestures performed,"Two hands, index fingers extended and facing each other, moving inwards repeatedly","One hand, all fingers open and facing forward, moving upwards repeatedly","One hand, all fingers open and facing forward, moving upwards repeatedly"
p_040,"One hand, all fingers closed, raised upwards repeatedly + One hand, all fingers open, moving downwards repeatedly","One hand, all fingers open and slightly curved, facing down, moving upwards repeatedly","One hand, all fingers open and facing down, moving repeatedly downwards","One hand, palm open and facing down, moving repeatedly downwards","One hand, all fingers open and facing forward, moving upwards repeatedly + One hand, index finger extended and facing forward, moving upwards once","Two hands, all fingers open and palms facing each other, clapping repeatedly + Two hands, all fingers open and palms facing forward, raising upwards repeatedly","One hand, all fingers open and facing forward, moving upwards repeatedly + One hand, all fingers open and facing down, moving downwards repeatedly","One hand, open palm facing left, waving upwards repeatedly + One hand, open palm facing down, moving downwards repeatedly"
p_041,"One hand, index finger extended and facing upwards, raised upwards and held stationary","One hand, index finger extended and facing upward, moving upwards repeatedly + One hand, index finger curved and facing downward, moving downward repeatedly","One hand, index finger extended and facing up, raised and stationary + One hand, index finger and thumb fingers pinched and facing in, touching the mouth, stationary","One hand, all fingers open and facing left, touching the side of the head, stationary",One hand index and thumb fingers pinch inwards once + Two hands all fingers open touching face stationary,"Two hands, index and thumb fingers curved inward and facing each other, forming a circular shape near the face, stationary","One hand, index finger extended and facing up, pointing upwards repeatedly + One hand, index finger extended and facing down, pointing downwards repeatedly","Two hands, all fingers curved and facing each other, clapping repeatedly + Two hands, all fingers curved and facing each other, held together stationary"
p_042,"One hand, all fingers open and palm facing up, moving upwards repeatedly","One hand, all fingers open and facing up, moving upwards repeatedly + One hand, all fingers open and facing down, moving downwards repeatedly","One hand, all fingers open and facing down, moving downwards repeatedly",No gestures performed,"One hand, index finger extended and facing forward, pointing forward once + One hand, open palm facing left, waving leftwards repeatedly",No hand gestures are performed,"One hand, index finger extended and facing forward, touching the face near the mouth, stationary","One hand, all fingers open and facing up, moving upwards repeatedly"
